7 12  14 1734 2946 4150 5358 6566 7770 8770 9658 10550 11450 12354 13262 14178 15090 
7 13  15 1786 2974 4158 5342 6530 7714 8738 9610 10470 11342 12218 13102 13986 14874 15762 
7 14  15 1730 2938 4138 5342 6546 7750 8762 9650 10534 11426 12322 13226 14134 15042 15950 
7 15  15 1742 2946 4150 5354 6562 7762 8778 9658 10538 11422 12318 13214 14114 15018 15922 
7 16  18 1522 2698 3882 5062 6262 7474 8462 9166 9858 10562 11262 11962 12670 13370 14074 14770 15266 15406 
7 17  18 1546 2690 3838 4990 6158 7330 8370 9066 9734 10410 11086 11766 12442 13126 13802 14482 15134 15394 
7 18  18 1542 2710 3886 5058 6246 7446 8454 9150 9830 10518 11202 11890 12582 13266 13954 14650 15218 15390 
7 19  17 1614 2850 4086 5326 6582 7834 8726 9454 10170 10890 11622 12346 13074 13798 14530 15194 15458 
7 20  18 1586 2802 4026 5250 6490 7730 8662 9374 10082 10794 11510 12226 12938 13658 14374 15066 15418 15514 
7 21  18 1546 2750 3962 5174 6402 7630 8574 9282 9978 10690 11394 12106 12814 13522 14234 14930 15346 15450 
7 22  18 1542 2718 3906 5086 6278 7482 8466 9162 9846 10538 11226 11918 12614 13306 13998 14698 15278 15462 
7 23  18 1554 2730 3914 5094 6290 7490 8514 9218 9902 10602 11294 11990 12694 13394 14094 14790 15414 15626 
7 24  18 1562 2754 3950 5146 6350 7562 8530 9226 9910 10602 11290 11978 12674 13366 14054 14742 15266 15414 
7 25  18 1550 2742 3946 5146 6354 7570 8546 9250 9942 10646 11346 12046 12750 13450 14150 14842 15314 15438 
7 26  18 1590 2794 4002 5210 6430 7650 8598 9298 9990 10690 11386 12082 12778 13474 14170 14854 15286 15398 
7 27  19 1522 2690 3862 5034 6214 7398 8418 9114 9790 10474 11154 11834 12518 13202 13882 14566 15198 15462 15574 
7 28  20 1522 2654 3778 4910 6050 7190 8278 8978 9634 10286 10938 11598 12250 12902 13562 14218 14882 15334 15442 15490 
7 29  18 1562 2746 3938 5126 6322 7526 8510 9206 9882 10570 11254 11934 12618 13298 13978 14658 15154 15294 
7 30  18 1526 2714 3910 5102 6302 7506 8482 9178 9858 10546 11230 11910 12598 13278 13958 14638 15142 15286 
7 31  18 1486 2658 3830 5006 6190 7374 8386 9078 9742 10410 11082 11754 12418 13086 13746 14414 14990 15198 
