6 29  19 1658 2854 4046 5234 6438 7654 8606 9346 10046 10738 11430 12122 12814 13506 14206 14898 15594 15918 15998 
6 30  18 1634 2774 3926 5070 6226 7406 8418 9162 9842 10518 11186 11854 12530 13202 13874 14554 15230 15898 
6 31  18 1650 2834 4018 5198 6394 7610 8546 9282 9978 10674 11362 12054 12750 13442 14138 14834 15530 15814 
7 0  19 1462 2646 3830 5018 6206 7390 8442 9190 9858 10514 11158 11798 12446 13090 13734 14382 15026 15662 15994 
7 1  18 1518 2734 3958 5178 6406 7626 8634 9382 10070 10742 11414 12086 12758 13426 14098 14770 15434 15954 
7 2  19 1414 2570 3726 4886 6046 7206 8278 9042 9698 10338 10970 11606 12234 12862 13498 14134 14766 15418 15934 
7 3  17 1510 2742 3986 5230 6474 7714 8694 9442 10138 10826 11518 12198 12882 13570 14258 14942 15622 
7 4  19 1394 2558 3726 4894 6066 7234 8290 9046 9710 10362 11002 11650 12290 12930 13578 14222 14866 15514 15974 
7 5  18 1486 2682 3886 5086 6294 7498 8526 9274 9954 10630 11294 11954 12626 13290 13958 14630 15294 15906 
7 6  18 1458 2682 3906 5134 6362 7594 8578 9318 10014 10694 11370 12046 12726 13402 14078 14762 15434 15962 
7 7  18 1386 2546 3710 4870 6038 7206 8282 9050 9722 10382 11034 11686 12338 12986 13646 14298 14950 15610 
7 8  18 1454 2606 3754 4910 6066 7230 8314 9090 9762 10422 11074 11726 12378 13030 13686 14342 14994 15642 
7 9  17 1510 2734 3966 5198 6434 7674 8658 9410 10114 10806 11502 12194 12886 13586 14282 14978 15662 
7 10  18 1398 2546 3694 4838 5994 7158 8234 9002 9670 10326 10974 11626 12270 12918 13574 14226 14878 15546 
7 11  18 1482 2678 3874 5074 6278 7498 8502 9246 9934 10618 11290 11962 12642 13318 13994 14682 15354 15946 
7 12  18 1402 2558 3718 4870 6038 7218 8282 9046 9722 10390 11050 11710 12370 13030 13694 14362 15026 15694 
7 13  18 1450 2638 3826 5014 6218 7434 8438 9190 9878 10562 11234 11910 12590 13266 13946 14630 15302 15870 
7 14  18 1442 2622 3794 4974 6166 7374 8402 9162 9850 10534 11206 11882 12566 13242 13918 14606 15286 15914 
7 15  18 1454 2654 3854 5050 6270 7510 8486 9234 9934 10634 11322 12010 12710 13402 14098 14794 15486 15990 
7 16  18 1502 2750 4002 5254 6514 7766 8710 9450 10150 10838 11530 12210 12894 13582 14266 14954 15614 15938 
7 17  19 1406 2594 3774 4966 6162 7354 8386 9138 9814 10478 11138 11790 12450 13106 13766 14426 15086 15742 15998 
